88,75,116,82,7,84,100,83
35,80,111,83,5,66,102,77
97,66,105,77,1,76,100,70
90,76,116,66,5,66,110,74
50,76,105,77,4,66,110,83
28,69,105,68,3,76,102,67
97,82,105,68,1,66,110,66
6,76,105,77,5,74,100,67
97,74,116,65,3,66,100,83
49,71,116,84,5,83,102,83
69,76,116,71,4,76,100,71
58,86,105,83,1,66,110,66
10,65,99,80,9,68,102,66
17,86,116,83,2,74,102,78
27,76,116,85,7,83,100,72
38,78,99,76,1,84,102,66
10,71,116,83,4,83,100,71
14,76,116,75,10,75,110,80
34,72,116,72,3,84,100,84
24,65,99,76,5,84,110,67
66,87,105,85,9,84,100,76
5,65,110,83,8,71,102,77
18,69,111,78,1,76,100,74
40,68,116,71,9,78,100,76
76,65,105,76,10,83,102,75
61,77,99,85,9,72,110,66
94,77,116,67,8,70,100,78
86,77,110,78,8,80,110,76
77,68,116,77,2,77,102,83
62,77,116,71,3,70,100,78
43,76,105,80,8,74,102,83
60,84,116,78,7,75,100,78
26,73,116,66,2,67,102,77
37,75,116,67,1,83,110,84
65,67,99,84,3,73,102,73
89,77,111,82,10,76,110,77
20,68,99,80,5,84,110,70
35,65,99,75,7,78,100,70
70,82,116,66,6,77,110,77
53,66,99,66,5,85,110,84
63,74,99,77,4,83,100,69
72,68,111,65,7,90,102,77
77,72,111,85,5,77,102,71
70,83,111,83,1,65,100,78
95,69,99,73,6,65,110,83
61,69,111,80,9,83,110,77
56,76,110,84,4,71,102,83
22,74,105,76,2,80,102,84
27,74,105,80,5,71,102,76
54,69,105,65,3,84,100,77
87,69,111,65,7,83,110,85
22,68,116,73,6,65,100,84
89,77,110,67,7,69,100,75
20,82,116,76,7,83,110,83
34,65,110,72,3,83,100,78
51,90,99,78,3,78,100,80
25,67,111,77,1,75,100,80
21,82,99,84,8,83,110,68
40,74,99,69,2,67,100,73
36,76,111,73,10,65,110,73
47,76,105,78,7,80,102,83
54,78,99,85,2,84,102,86
13,70,116,78,5,71,110,74
36,69,116,78,8,84,100,77
92,84,116,66,3,67,102,69
98,74,99,67,3,78,110,83
78,75,99,84,9,83,110,83
14,76,99,85,4,83,110,84
26,70,116,75,5,73,110,67
30,65,111,76,4,80,100,66
68,69,116,69,5,67,102,75
5,76,116,80,3,73,102,65
41,73,99,70,8,84,102,83
76,67,99,77,5,71,110,78
16,80,116,83,10,80,102,65
53,68,111,83,2,77,102,78
49,67,116,67,4,70,102,71
63,69,99,73,5,67,100,77
28,77,111,66,8,67,102,85
15,77,116,80,8,78,110,78
40,76,116,83,3,82,100,65
18,65,99,76,5,77,100,78
80,87,99,67,10,78,102,68
38,77,99,67,4,82,100,82
6,72,110,83,6,77,110,83
18,66,116,83,7,77,102,85
88,69,99,67,3,67,100,66
63,79,116,78,10,66,110,84
56,68,116,67,9,83,100,75
9,67,99,71,5,86,102,78
21,74,105,82,5,83,100,90
11,67,116,65,7,70,100,83
91,79,99,83,3,67,102,77
99,67,99,83,1,81,102,69
67,68,105,67,7,83,102,68
73,77,99,73,4,78,102,84
72,67,116,69,7,67,110,83
66,75,110,77,4,68,100,77
83,76,99,65,7,83,100,80
30,78,99,85,2,78,110,77
11,69,116,71,6,80,102,82
26,67,116,83,1,69,110,77
19,65,116,83,9,73,100,75
86,82,116,67,5,85,100,73
28,74,99,77,3,73,102,65
10,82,105,66,10,90,102,78
66,77,99,76,1,78,100,65
2,75,110,74,8,80,102,77
63,82,99,83,8,72,102,73
66,79,99,65,5,77,110,71
43,86,99,83,6,80,102,78
37,67,116,71,2,77,100,75
18,80,116,83,2,66,110,80
27,69,111,71,6,80,100,75
88,82,116,77,9,79,102,69
30,80,99,66,10,76,102,76
60,75,110,65,9,83,100,66
44,79,110,77,5,75,102,83
16,68,111,67,8,80,100,76
100,90,99,77,8,83,102,90
61,76,116,76,8,70,102,66
35,69,99,85,5,66,102,66
42,73,116,83,1,77,100,83
64,87,99,73,1,67,100,83
31,67,116,83,2,75,110,83
32,82,111,77,4,83,100,77
50,80,116,80,3,83,110,73
37,68,99,78,3,76,102,69
53,66,99,70,4,75,102,71
26,85,110,66,10,83,110,72
73,67,116,83,10,81,102,83
99,74,116,83,9,67,102,77
25,76,116,83,10,83,110,69
6,78,116,68,9,66,102,73
14,83,116,67,6,66,110,77
86,75,111,83,7,70,102,74
91,65,105,67,10,71,110,84
71,65,99,75,6,71,110,73
76,75,99,67,1,73,110,71
67,72,116,89,7,83,102,86
82,74,99,67,6,68,102,90
3,65,105,80,6,69,110,65
8,79,99,83,7,68,102,67
22,78,99,90,8,85,100,73
81,83,99,70,3,66,110,68
72,65,116,71,6,69,102,83
19,72,116,66,8,84,100,84
29,68,116,76,10,77,110,78
100,80,110,83,8,83,100,73
74,68,105,77,1,83,110,73
53,84,99,66,7,65,100,78
26,80,110,69,7,67,102,71
89,83,116,77,5,66,102,83
10,67,111,76,5,77,100,77
85,77,99,77,6,66,102,73
